"GroupName","Name","ObjectClass"
"DELIA_PATTON","DELIA_PATTON","user"
"GARRETT_RANDALL","GARRETT_RANDALL","user"
"Domain Admins","Domain Admins","group"
"Enterprise Admins","Enterprise Admins","group"
"Administrator","Administrator","user"
"KAYLA_KEITH","KAYLA_KEITH","user"
"Domain Users","Domain Users","group"
"Authenticated Users","Authenticated Users",
"INTERACTIVE","INTERACTIVE",
"ROSEANN_TODD","ROSEANN_TODD","user"
"SHERRI_WHEELER","SHERRI_WHEELER","user"
"NIKKI_MALDONADO","NIKKI_MALDONADO","user"
"Domain Guests","Domain Guests","group"
"Guest","Guest","user"
"BRAIN_BENNETT","BRAIN_BENNETT","user"
"TERRENCE_SANTANA","TERRENCE_SANTANA","user"
"RHODA_GILLIAM","RHODA_GILLIAM","user"
"BRENDAN_STEVENSON","BRENDAN_STEVENSON","user"
"CATHRYN_DELANEY","CATHRYN_DELANEY","user"
"MEL_FERNANDEZ","MEL_FERNANDEZ","user"
"BARTON_FARMER","BARTON_FARMER","user"
"LEVI_REEVES","LEVI_REEVES","user"
"Arabele Amalita","Arabele Amalita","user"
"MILFORD_LANCASTER","MILFORD_LANCASTER","user"
"RUTH_SINGLETON","RUTH_SINGLETON","user"
"ELISA_SALINAS","ELISA_SALINAS","user"
"NORMAN_WILLIAMSON","NORMAN_WILLIAMSON","user"
"LOWELL_WOOD","LOWELL_WOOD","user"
"COLLIN_BAILEY","COLLIN_BAILEY","user"
"DOUG_WONG","DOUG_WONG","user"
"DAWN_CHRISTIAN","DAWN_CHRISTIAN","user"
"ANNABELLE_WISE","ANNABELLE_WISE","user"
"BURTON_JACKSON","BURTON_JACKSON","user"
"RUTH_MEJIA","RUTH_MEJIA","user"
"WILLARD_RODRIGUEZ","WILLARD_RODRIGUEZ","user"
"IUSR","IUSR",
"RIGOBERTO_TATE","RIGOBERTO_TATE","user"
"DELMER_ROACH","DELMER_ROACH","user"
"MILLICENT_WHEELER","MILLICENT_WHEELER","user"
"LEONA_MASON","LEONA_MASON","user"
"CALEB_CALHOUN","CALEB_CALHOUN","user"
"KERRI_SANTANA","KERRI_SANTANA","user"
"ALBERT_CHAVEZ","ALBERT_CHAVEZ","user"
"JACKSON_CASEY","JACKSON_CASEY","user"
"ADRIENNE_MARTINEZ","ADRIENNE_MARTINEZ","user"
"HEATH_HALE","HEATH_HALE","user"
"Rita Bonni","Rita Bonni","user"
"STANLEY_FRY","STANLEY_FRY","user"
"SUSAN_ONEIL","SUSAN_ONEIL","user"
"VONDA_FROST","VONDA_FROST","user"
"LEE_PACE","LEE_PACE","user"
"STANLEY_FRY","STANLEY_FRY","user"
"379889172SA","379889172SA","user"
"DefaultAccount","DefaultAccount","user"
"GRETA_DECKER","GRETA_DECKER","user"
"BRENT_DOTSON","BRENT_DOTSON","user"
"STACEY_MARKS","STACEY_MARKS","user"
"LELA_BALLARD","LELA_BALLARD","user"
"AZRWAPPS1000000","AZRWAPPS1000000","computer"
"HREWWEBS1000000","HREWWEBS1000000","computer"
"FSRWVIR1000000","FSRWVIR1000000","computer"
"FINWCTRX1000000","FINWCTRX1000000","computer"
"GOOWCTRX1000000","GOOWCTRX1000000","computer"
"AWSWAPPS1000000","AWSWAPPS1000000","computer"
"AZRWAPPS1000001","AZRWAPPS1000001","computer"
"OGCWAPPS1000000","OGCWAPPS1000000","computer"
"TSTWLPT1000000","TSTWLPT1000000","computer"
"OGCWWKS1000000","OGCWWKS1000000","computer"
"SECWLPT1000000","SECWLPT1000000","computer"
"BDEWLPT1000000","BDEWLPT1000000","computer"
"FINWLPT1000000","FINWLPT1000000","computer"
"FINWVIR1000000","FINWVIR1000000","computer"
"HREWWKS1000000","HREWWKS1000000","computer"
"OGCWVIR1000000","OGCWVIR1000000","computer"
"AZRWLPT1000000","AZRWLPT1000000","computer"
"SECWDBAS1000000","SECWDBAS1000000","computer"
"HREWDBAS1000000","HREWDBAS1000000","computer"
"AWSWCTRX1000000","AWSWCTRX1000000","computer"
"GOOWDBAS1000000","GOOWDBAS1000000","computer"
"BDEWCTRX1000000","BDEWCTRX1000000","computer"
"OGCWLPT1000000","OGCWLPT1000000","computer"
"BDEWWKS1000000","BDEWWKS1000000","computer"
"BDEWLPT1000001","BDEWLPT1000001","computer"
