"Name","SamAccountName","Enabled","LastLogonDate","Department","Title"
"Administrator","Administrator","True","5/26/2025 4:28:53 PM",,
"Guest","Guest","False",,,
"DefaultAccount","DefaultAccount","False",,,
"krbtgt","krbtgt","False",,,
"EARNEST_GARNER","EARNEST_GARNER","True",,,
"KRISTIE_MCGUIRE","KRISTIE_MCGUIRE","True",,,
"DELIA_DIAZ","DELIA_DIAZ","True",,,
"GUADALUPE_LUCAS","GUADALUPE_LUCAS","True",,,
"HILARIO_WHITE","HILARIO_WHITE","True",,,
"TRACEY_MAYER","TRACEY_MAYER","True",,,
"MELODY_PICKETT","MELODY_PICKETT","True",,,
"ANGELIQUE_HANSEN","ANGELIQUE_HANSEN","True",,,
"KRISTIN_RIVAS","KRISTIN_RIVAS","True",,,
"WENDELL_COTE","WENDELL_COTE","True",,,
"RICH_OLIVER","RICH_OLIVER","True",,,
"ALISON_CALDWELL","ALISON_CALDWELL","True",,,
"CYNTHIA_SNOW","CYNTHIA_SNOW","True",,,
"EFREN_GARZA","EFREN_GARZA","True",,,
"SARAH_JOYNER","SARAH_JOYNER","True",,,
"GENE_ARMSTRONG","GENE_ARMSTRONG","True",,,
"BETH_MALDONADO","BETH_MALDONADO","True",,,
"BESSIE_TRAVIS","BESSIE_TRAVIS","True",,,
"EMMETT_BROWN","EMMETT_BROWN","True",,,
"INGRID_HYDE","INGRID_HYDE","True",,,
"BERNIE_MILES","BERNIE_MILES","True",,,
"STANLEY_JORDAN","STANLEY_JORDAN","True",,,
"9254669778SA","9254669778SA","True",,,
"JAMIE_JACKSON","JAMIE_JACKSON","True",,,
"2650975757SA","2650975757SA","True",,,
"GRETCHEN_BUCHANAN","GRETCHEN_BUCHANAN","True",,,
"DOUG_WONG","DOUG_WONG","True",,,
"KIP_RAMSEY","KIP_RAMSEY","True",,,
"DEBRA_HUFF","DEBRA_HUFF","True",,,
"EZRA_GRIFFITH","EZRA_GRIFFITH","True",,,
"HOMER_SPENCER","HOMER_SPENCER","True",,,
"GINO_DENNIS","GINO_DENNIS","True",,,
"TREY_PATE","TREY_PATE","True",,,
"RIGOBERTO_HAMPTON","RIGOBERTO_HAMPTON","True",,,
"DOUGLAS_WARREN","DOUGLAS_WARREN","True",,,
"KEITH_DELEON","KEITH_DELEON","True",,,
"PAULETTE_BLACKWELL","PAULETTE_BLACKWELL","True",,,
"PEDRO_COLEMAN","PEDRO_COLEMAN","True",,,
"SHELTON_HENSLEY","SHELTON_HENSLEY","True",,,
"EDDY_LARA","EDDY_LARA","True",,,
"OPAL_KOCH","OPAL_KOCH","True",,,
"LUCILE_ATKINSON","LUCILE_ATKINSON","True",,,
"ROLANDO_GREENE","ROLANDO_GREENE","True",,,
"ERWIN_BOYD","ERWIN_BOYD","True",,,
"KENTON_MOLINA","KENTON_MOLINA","True",,,
"GOLDIE_CRANE","GOLDIE_CRANE","True",,,
"MEGAN_EDWARDS","MEGAN_EDWARDS","True",,,
"MONROE_ESTRADA","MONROE_ESTRADA","True",,,
"RONNIE_EWING","RONNIE_EWING","True",,,
"MARIBEL_CHARLES","MARIBEL_CHARLES","True",,,
"JOSEFA_MCMILLAN","JOSEFA_MCMILLAN","True",,,
"HOWARD_OWEN","HOWARD_OWEN","True",,,
"LAZARO_CASTRO","LAZARO_CASTRO","True",,,
"SHELIA_STANTON","SHELIA_STANTON","True",,,
"PRESTON_SHARP","PRESTON_SHARP","True",,,
"LETA_MCCONNELL","LETA_MCCONNELL","True",,,
"DORA_HENSLEY","DORA_HENSLEY","True",,,
"ERIN_HOGAN","ERIN_HOGAN","True",,,
"REBA_EVERETT","REBA_EVERETT","True",,,
"TERRELL_BRIGGS","TERRELL_BRIGGS","True",,,
"GRETA_NORTON","GRETA_NORTON","True",,,
"ANGELICA_GLOVER","ANGELICA_GLOVER","True",,,
"GRETA_HAYS","GRETA_HAYS","True",,,
"LEOLA_DODSON","LEOLA_DODSON","True",,,
"ROOSEVELT_SPENCER","ROOSEVELT_SPENCER","True",,,
"MALCOLM_RIVAS","MALCOLM_RIVAS","True",,,
"NOEL_JONES","NOEL_JONES","True",,,
"FOSTER_MORRIS","FOSTER_MORRIS","True",,,
"ARMAND_FRANKS","ARMAND_FRANKS","True",,,
"GORDON_HODGES","GORDON_HODGES","True",,,
"CONCEPCION_MADDEN","CONCEPCION_MADDEN","True",,,
"MICHAEL_MANN","MICHAEL_MANN","True",,,
"ANDRES_BUCKLEY","ANDRES_BUCKLEY","True",,,
"BRADY_ROWE","BRADY_ROWE","True",,,
"JUDITH_SAMPSON","JUDITH_SAMPSON","True",,,
"DELORIS_RHODES","DELORIS_RHODES","True",,,
"DENISE_FOREMAN","DENISE_FOREMAN","True",,,
"LINDSEY_GRIFFITH","LINDSEY_GRIFFITH","True",,,
"RODERICK_MENDOZA","RODERICK_MENDOZA","True",,,
"DARRIN_BRAY","DARRIN_BRAY","True",,,
"ANDREW_BREWER","ANDREW_BREWER","True",,,
"CONSTANCE_STONE","CONSTANCE_STONE","True",,,
"BARBARA_MADDEN","BARBARA_MADDEN","True",,,
"CARY_BLACKWELL","CARY_BLACKWELL","True",,,
"EMIL_BENTON","EMIL_BENTON","True",,,
"ALTON_MCNEIL","ALTON_MCNEIL","True",,,
"MEREDITH_CANTU","MEREDITH_CANTU","True",,,
"MILLICENT_WHEELER","MILLICENT_WHEELER","True",,,
"AVIS_MEADOWS","AVIS_MEADOWS","True",,,
"CLEO_SALAZAR","CLEO_SALAZAR","True",,,
"YVONNE_CHAN","YVONNE_CHAN","True",,,
"CATHRYN_GREEN","CATHRYN_GREEN","True",,,
"RICHIE_MULLEN","RICHIE_MULLEN","True",,,
"CLARA_POOLE","CLARA_POOLE","True",,,
"SHERMAN_OSBORNE","SHERMAN_OSBORNE","True",,,
"CHUCK_CHAN","CHUCK_CHAN","True",,,
"CHRISTINA_HERNANDEZ","CHRISTINA_HERNANDEZ","True",,,
"LORRAINE_CLEMENTS","LORRAINE_CLEMENTS","True",,,
"MITCHELL_BONNER","MITCHELL_BONNER","True",,,
"AUGUSTA_BURKE","AUGUSTA_BURKE","True",,,
"STACI_LARSON","STACI_LARSON","True",,,
"LIZA_DOWNS","LIZA_DOWNS","True",,,
"CHRIS_MAXWELL","CHRIS_MAXWELL","True",,,
"MARLA_ANTHONY","MARLA_ANTHONY","True",,,
"DANIELLE_MORGAN","DANIELLE_MORGAN","True",,,
"GARRETT_COMPTON","GARRETT_COMPTON","True",,,
"CANDY_JOSEPH","CANDY_JOSEPH","True",,,
"ARACELI_WINTERS","ARACELI_WINTERS","True",,,
"BRIDGETT_HART","BRIDGETT_HART","True",,,
"REYNALDO_WOLFE","REYNALDO_WOLFE","True",,,
"ROSARIO_BUCKNER","ROSARIO_BUCKNER","True",,,
"BASIL_LIVINGSTON","BASIL_LIVINGSTON","True",,,
"MILFORD_LANCASTER","MILFORD_LANCASTER","True",,,
"EDWARD_CARDENAS","EDWARD_CARDENAS","True",,,
"ZACHERY_THOMAS","ZACHERY_THOMAS","True",,,
"LORENZO_NOLAN","LORENZO_NOLAN","True",,,
"2890231866SA","2890231866SA","True",,,
"FREIDA_POWELL","FREIDA_POWELL","True",,,
"LAURA_VARGAS","LAURA_VARGAS","True",,,
"CLAUDETTE_DAVID","CLAUDETTE_DAVID","True",,,
"ODESSA_BARTLETT","ODESSA_BARTLETT","True",,,
"NOREEN_CUMMINGS","NOREEN_CUMMINGS","True",,,
"CHRISTIE_HEWITT","CHRISTIE_HEWITT","True",,,
"MURIEL_MAY","MURIEL_MAY","True",,,
"RAE_DEJESUS","RAE_DEJESUS","True",,,
"LEILA_FRANCO","LEILA_FRANCO","True",,,
"LORENE_MUELLER","LORENE_MUELLER","True",,,
"VERN_PRUITT","VERN_PRUITT","True",,,
